Date,CL,COST,GIS,HSY,KMB,KO,MDLZ,MNST,PEP,WMT
2019-08-01,65.61122131347656,259.95379638671875,48.27814483642578,140.86561584472656,119.54912567138672,46.321617126464844,49.60049819946289,31.729999542236328,114.52128601074219,102.86547088623047
2019-08-02,65.55597686767578,257.99395751953125,48.00105285644531,141.25563049316406,120.10601043701172,46.588714599609375,49.72072982788086,31.19499969482422,115.22388458251953,102.88427734375
2019-08-05,63.346229553222656,250.9879608154297,47.20549392700195,138.47900390625,118.12591552734375,45.983314514160156,48.296443939208984,29.479999542236328,112.0532455444336,99.51750183105469
2019-08-06,64.3130111694336,254.9738311767578,46.937339782714844,139.6398162841797,118.91265106201172,46.53528594970703,48.86061096191406,30.09000015258789,113.89978790283203,100.88113403320312
2019-08-07,64.85623931884766,259.69818115234375,47.30381393432617,141.71998596191406,120.33586883544922,47.3454475402832,49.40627670288086,30.19499969482422,115.09777069091797,101.75575256347656
2019-08-08,66.02555084228516,260.1715393066406,48.287078857421875,143.5401153564453,122.46623229980469,47.79949951171875,50.82132339477539,31.09000015258789,116.62003326416016,102.55904388427734
2019-08-09,65.8506088256836,259.3573913574219,48.19770431518555,144.3851776123047,122.31596374511719,47.55911636352539,50.58086013793945,29.614999771118164,115.8364028930664,101.38716888427734
2019-08-12,65.12322998046875,256.86737060546875,48.51055908203125,144.76593017578125,122.10381317138672,47.36325454711914,50.17392349243164,28.239999771118164,115.61121368408203,99.44034576416016
2019-08-13,66.00714111328125,261.5538635253906,48.60888671875,144.27374267578125,123.244140625,47.63034439086914,50.46986770629883,29.020000457763672,117.03437042236328,101.51004791259766
2019-08-14,64.92987060546875,253.87557983398438,48.06361770629883,141.5435028076172,120.84856414794922,47.17630386352539,49.202816009521484,28.05500030517578,116.30476379394531,100.36649322509766
2019-08-15,65.71250915527344,257.066162109375,48.56418991088867,144.4037322998047,123.11152648925781,47.95975112915039,49.739227294921875,28.475000381469727,117.74597930908203,106.5
2019-08-16,66.55036926269531,259.5087890625,49.18096160888672,144.34800720214844,124.3932876586914,48.44050216674805,50.442138671875,28.59000015258789,118.68274688720703,106.78352355957031
2019-08-19,67.28694915771484,260.93841552734375,49.341861724853516,146.51173400878906,126.17890930175781,48.689781188964844,50.460628509521484,28.899999618530273,119.4123764038086,107.55847930908203
2019-08-20,66.7897720336914,258.4389343261719,48.528438568115234,145.31381225585938,123.88941955566406,47.96864700317383,49.93345260620117,28.920000076293945,118.95295715332031,105.8951644897461
2019-08-21,66.85420989990234,261.00469970703125,48.60888671875,147.42184448242188,125.44522857666016,48.16451644897461,50.22016143798828,29.014999389648438,119.20519256591797,105.8667984008789
2019-08-22,67.25012969970703,265.01898193359375,48.877044677734375,147.79791259765625,125.3303451538086,48.5117301940918,50.414371490478516,28.594999313354492,119.49343872070312,105.76284790039062
2019-08-23,66.50433349609375,259.4236145019531,47.93848419189453,146.53810119628906,122.3513412475586,47.844017028808594,49.60049819946289,28.040000915527344,117.34065246582031,104.74217224121094
2019-08-26,67.00153350830078,263.6367492675781,48.2513313293457,148.42311096191406,123.97782897949219,48.55624771118164,50.36813735961914,28.325000762939453,120.46625518798828,105.83845520019531
2019-08-27,67.61842346191406,276.8157653808594,46.4010124206543,148.73110961914062,124.76456451416016,48.71649932861328,50.331146240234375,28.28499984741211,121.38500213623047,106.24482727050781
2019-08-28,68.1340103149414,278.8133850097656,47.482608795166016,149.75758361816406,125.4805908203125,49.06370544433594,50.756587982177734,29.040000915527344,121.77233123779297,106.52835845947266
2019-08-29,68.31815338134766,281.4038391113281,47.68818664550781,147.4339599609375,125.38336944580078,49.010292053222656,51.126529693603516,28.80500030517578,122.51995849609375,107.81365966796875
2019-08-30,68.27213287353516,279.6863098144531,48.09043502807617,147.89122009277344,124.73807525634766,49.00138473510742,51.0710334777832,29.334999084472656,123.15950775146484,107.98377990722656
2019-09-03,68.41944885253906,277.11492919921875,48.537376403808594,149.2443084716797,125.0916519165039,49.23286056518555,51.45948791503906,28.81999969482422,123.81706237792969,108.34288787841797
2019-09-04,68.93506622314453,280.9767761230469,48.54631805419922,150.6161346435547,126.12590789794922,49.65129089355469,51.9774055480957,29.030000686645508,125.33930206298828,109.54313659667969
2019-09-05,68.40103149414062,281.78338623046875,48.4122314453125,149.58961486816406,124.19371032714844,49.07261276245117,51.92191696166992,29.385000228881836,123.33036804199219,109.09896850585938
2019-09-06,68.77853393554688,288.22613525390625,49.12732696533203,148.3577880859375,122.9204330444336,49.170536041259766,52.375099182128906,28.584999084472656,124.59103393554688,108.4279556274414
2019-09-09,67.38823699951172,283.70953369140625,49.69047164916992,145.71688842773438,118.664306640625,48.53843688964844,52.23637008666992,28.614999771118164,123.71128845214844,109.9400634765625
2019-09-10,66.4030532836914,281.8117980957031,48.74296188354492,142.34808349609375,116.77666473388672,48.43160629272461,50.24790573120117,28.8799991607666,123.22149658203125,109.67545318603516
2019-09-11,67.07518768310547,275.82452392578125,48.55524826049805,141.0509490966797,117.45333862304688,48.761009216308594,50.414371490478516,28.434999465942383,123.6750259399414,109.64707946777344
2019-09-12,66.55956268310547,275.0654296875,48.34966278076172,141.1536102294922,118.94032287597656,49.06370544433594,50.69184112548828,28.725000381469727,124.51847839355469,110.49767303466797
2019-09-13,65.10481262207031,276.9725646972656,48.242393493652344,138.64337158203125,117.8985595703125,48.66015625,50.01668930053711,29.43000030517578,123.7475357055664,110.97962951660156
2019-09-16,63.92628479003906,273.9267883300781,48.75189971923828,138.1487579345703,114.66638946533203,48.391109466552734,49.98894119262695,29.614999771118164,122.33268737792969,109.22181701660156
2019-09-17,64.32220458984375,276.50762939453125,49.18989562988281,142.48806762695312,117.46227264404297,48.6422119140625,50.59010696411133,28.9950008392334,123.0763931274414,110.11018371582031
2019-09-18,65.14164733886719,277.4754943847656,48.74296188354492,142.82398986816406,118.5040283203125,48.63323974609375,50.608604431152344,29.18000030517578,122.89501190185547,110.72447967529297
2019-09-19,65.32579803466797,273.1107177734375,48.617820739746094,143.19728088378906,119.42115020751953,48.893314361572266,50.904563903808594,29.395000457763672,122.87686920166016,110.6772232055664
2019-09-20,65.32579803466797,271.7159118652344,48.56418991088867,143.65455627441406,120.24032592773438,48.34626007080078,50.54386901855469,29.174999237060547,122.17848205566406,110.55435943603516
2019-09-23,65.83219909667969,272.8640441894531,48.17981719970703,143.06663513183594,121.83414459228516,48.55253601074219,50.506866455078125,29.559999465942383,122.84058380126953,111.15921020507812
2019-09-24,66.74371337890625,273.1866760253906,48.43010330200195,145.2596435546875,122.69786071777344,48.69601821899414,50.91380310058594,29.405000686645508,122.76801300048828,111.89635467529297
2019-09-25,66.5135498046875,273.7559814453125,48.42116165161133,143.12261962890625,122.50194549560547,48.57943344116211,51.04328918457031,29.184999465942383,122.52313995361328,111.96250915527344
2019-09-26,66.95548248291016,273.5187683105469,49.154151916503906,143.97186279296875,124.75467681884766,48.77674102783203,51.50572204589844,28.885000228881836,123.09454345703125,111.80184936523438
2019-09-27,67.45268249511719,271.326904296875,49.046878814697266,143.50527954101562,126.49093627929688,48.704986572265625,51.49177551269531,28.905000686645508,122.9857177734375,111.94361877441406
2019-09-30,67.682861328125,273.37640380859375,49.27034378051758,144.63436889648438,126.4820785522461,48.821571350097656,51.42669677734375,29.030000686645508,124.34619903564453,112.16098022460938
2019-10-01,66.04396057128906,269.41015625,48.617820739746094,144.5410919189453,126.13478088378906,49.0098991394043,50.79456329345703,28.209999084472656,124.59103393554688,111.37655639648438
2019-10-02,64.92987060546875,270.52978515625,47.294883728027344,143.29061889648438,124.4697494506836,47.6019287109375,50.181007385253906,27.559999465942383,121.48011779785156,109.7416000366211
2019-10-03,65.25214385986328,274.22088623046875,47.70606231689453,145.09165954589844,124.4074478149414,48.28349304199219,50.68301010131836,27.809999465942383,125.09894561767578,109.92117309570312
2019-10-04,66.35700225830078,276.7543640136719,48.537376403808594,146.98599243164062,126.08137512207031,48.9112548828125,52.040245056152344,28.290000915527344,127.2303466796875,111.66954040527344
2019-10-07,65.94268035888672,278.4053955078125,48.71615219116211,147.16331481933594,124.79920959472656,48.310401916503906,51.19429397583008,27.864999771118164,125.4708251953125,110.79064178466797
2019-10-08,65.07720184326172,276.963134765625,48.40329360961914,145.8382110595703,122.08345031738281,48.050331115722656,50.720191955566406,27.940000534057617,124.4731674194336,111.12139129638672
2019-10-09,65.0311508178711,281.7169189453125,48.85430908203125,146.01551818847656,122.29715728759766,48.2745246887207,51.08274459838867,28.139999389648438,125.0263900756836,112.39724731445312
2019-10-10,65.16007232666016,281.9446716308594,49.26022720336914,145.85690307617188,122.77796936035156,48.122074127197266,51.5103759765625,28.059999465942383,125.06267547607422,113.03990936279297
2019-10-11,64.92068481445312,282.3810729980469,49.025691986083984,144.93301391601562,122.54649353027344,47.79922103881836,50.96189498901367,28.149999618530273,124.8359375,113.63529205322266
2019-10-14,63.90788269042969,282.30523681640625,48.7190055847168,144.99835205078125,120.29375457763672,47.79922103881836,50.404117584228516,28.274999618530273,124.66358184814453,112.62406158447266
2019-10-15,62.977935791015625,283.1307373046875,48.358192443847656,142.34808349609375,119.19853973388672,47.987548828125,50.236793518066406,28.145000457763672,123.64779663085938,112.96429443359375
2019-10-16,62.47153854370117,283.50079345703125,47.49224090576172,141.4055938720703,119.9375991821289,47.96961975097656,50.450599670410156,28.260000228881836,123.72942352294922,112.86033630371094
2019-10-17,62.68330764770508,286.9355773925781,47.77186965942383,142.52540588378906,120.75674438476562,48.23865509033203,50.785255432128906,28.280000686645508,124.2192153930664,113.25724792480469
2019-10-18,62.63725280761719,287.3721008300781,47.40203094482422,142.8426971435547,122.18138885498047,49.12648010253906,50.64582061767578,28.02750015258789,123.57524108886719,112.59571075439453
2019-10-21,62.8858757019043,285.68310546875,47.36594772338867,143.31858825683594,123.93550109863281,48.63323974609375,49.79986572265625,28.145000457763672,123.45731353759766,113.1627426147461
2019-10-22,62.135345458984375,284.6299133300781,46.085060119628906,139.74449157714844,115.20063018798828,48.292457580566406,49.000389099121094,27.969999313354492,123.94709014892578,113.01153564453125
2019-10-23,62.58009719848633,282.11541748046875,46.16623306274414,139.7071533203125,119.57252502441406,49.00092697143555,48.94462203979492,28.100000381469727,124.66358184814453,112.7941665649414
2019-10-24,63.321346282958984,281.8592224121094,46.103092193603516,136.59033203125,120.37388610839844,48.97402572631836,49.307167053222656,28.30500030517578,125.06267547607422,112.55790710449219
2019-10-25,63.386207580566406,281.33734130859375,45.5618782043457,133.7347869873047,119.49239349365234,48.20278549194336,49.0561637878418,28.174999237060547,123.92894744873047,112.5011978149414
2019-10-28,62.40403747558594,283.652587890625,45.101837158203125,131.7191162109375,117.42664337158203,48.041358947753906,48.72150421142578,27.985000610351562,123.8654556274414,112.67132568359375
2019-10-29,62.93218994140625,280.7301025390625,45.51677322387695,134.0520782470703,118.37047576904297,47.89787673950195,49.11195373535156,28.075000762939453,123.42105102539062,110.71502685546875
2019-10-30,63.54372787475586,284.506591796875,45.742279052734375,136.21707153320312,119.0204849243164,48.37317657470703,48.36824035644531,28.075000762939453,124.1647720336914,111.61283111572266
2019-10-31,63.562259674072266,282.52862548828125,45.87759780883789,137.05691528320312,118.31706237792969,48.81260299682617,48.75868606567383,28.065000534057617,124.40965270996094,110.81898498535156
2019-11-01,61.9036979675293,281.5587158203125,46.16623306274414,133.51083374023438,117.56910705566406,48.33729934692383,48.36824035644531,28.125,124.19197845458984,111.15921020507812
2019-11-04,60.60651397705078,282.2528076171875,46.346649169921875,131.14053344726562,115.18281555175781,47.65573501586914,48.098663330078125,28.045000076293945,122.58660125732422,111.11195373535156
2019-11-05,61.11611557006836,284.49700927734375,46.53608322143555,130.91656494140625,116.08210754394531,47.010040283203125,48.06147384643555,28.235000610351562,121.5436019897461,112.33109283447266
2019-11-06,61.635005950927734,286.7697448730469,47.329864501953125,131.41116333007812,117.28419494628906,47.350833892822266,48.54487609863281,27.9950008392334,121.93362426757812,112.9359359741211
2019-11-07,61.95930480957031,290.23114013671875,46.88787078857422,131.87779235839844,117.31979370117188,46.893463134765625,48.098663330078125,28.31999969482422,120.91781616210938,113.62583923339844
